Geography,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ward 37,3.8,4.5,6.4,7.6,6.0,5.7,4.6,5.4,3.0,2.3,2.3,2.0,2.0,1.9,1.7,0.6,0.5,1.3,1.0,1.2
Ward 38,0.5,0.6,1.3,2.6,3.2,3.1,2.4,2.2,1.4,0.8,0.7,0.6,0.5,0.5,0.4,0.2,0.1,0.4,0.3,0.3
Ward 39,0.4,0.6,1.1,2.1,2.9,3.1,2.1,1.8,1.2,0.7,0.5,0.6,0.4,0.3,0.4,0.1,0.1,0.2,0.2,0.2
Ward 40,0.4,0.7,1.2,3.2,3.6,3.3,2.4,2.2,1.0,0.5,0.4,0.4,0.3,0.4,0.3,0.2,0.1,0.3,0.2,0.2
Ward 41,0.3,0.4,0.8,1.5,1.7,2.0,1.5,1.3,0.8,0.5,0.3,0.4,0.4,0.4,0.3,0.1,0.1,0.3,0.2,0.2
Ward 42,0.3,0.3,0.5,0.9,1.1,1.2,0.7,0.5,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.1,0.0,0.2,0.1,0.1
Ward 43,0.1,0.3,0.4,0.4,0.9,1.0,0.7,0.6,0.4,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.0,0.2,0.1,0.1
Ward 44,0.1,0.2,0.3,0.6,0.8,0.9,0.8,0.8,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.1
Ward 45,0.4,0.5,1.1,1.7,2.2,2.8,2.0,1.9,1.2,0.7,0.4,0.6,0.5,0.4,0.4,0.2,0.1,0.3,0.3,0.2
Ward 46,0.3,0.5,0.8,0.8,1.3,1.5,1.4,1.4,0.8,0.5,0.4,0.3,0.3,0.3,0.2,0.1,0.0,0.3,0.2,0.3
Ward 47,0.2,0.3,0.5,0.7,1.0,1.1,1.0,0.9,0.6,0.3,0.2,0.3,0.2,0.2,0.3,0.1,0.1,0.3,0.2,0.2
Ward 48,0.4,0.7,0.9,1.2,1.7,2.3,1.9,1.8,1.1,0.6,0.4,0.4,0.5,0.4,0.3,0.1,0.1,0.3,0.1,0.3
Ward 49,0.6,0.8,1.4,2.5,3.6,4.0,3.0,2.8,2.0,0.9,0.8,0.5,0.6,0.5,0.5,0.1,0.1,0.6,0.3,0.4
Ward 50,0.4,0.8,1.7,2.9,4.5,3.7,2.8,2.5,1.4,0.6,0.5,0.5,0.6,0.4,0.3,0.1,0.1,0.3,0.2,0.2
